Team1,Team2,Score1,Score2,Date/Time,nb_matches1,nb_matches2,goals_past1,goals_past2,ratio_goals_past1,ratio_goals_past2,nb_wins1,nb_wins2,ratio_wins1,ratio_wins2,nb_losses1,nb_losses2,ratio_losses1,ratio_losses2,nb_draws1,nb_draws2,ratio_draws1,ratio_draws2,nb_wins_opp1,nb_wins_opp2,ratio_wins_opp1,ratio_wins_opp2,nb_losses_opp1,nb_losses_opp2,ratio_losses_opp1,ratio_losses_opp2,nb_draws_opp1,nb_draws_opp2,ratio_draws_opp1,ratio_draws_opp2
Qatar,Iran,1,2,2018-12-31 18:00:00,11,15,19,18,0.6129032258064516,0.6428571428571429,7,8,0.6363636363636364,0.5333333333333333,7,8,0.18181818181818182,0.2,2,4,0.18181818181818182,0.26666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
South Korea,Saudi Arabia,0,0,2018-12-31 17:00:00,18,17,24,18,0.5581395348837209,0.3829787234042553,7,5,0.3888888888888889,0.29411764705882354,7,5,0.3333333333333333,0.47058823529411764,5,4,0.2777777777777778,0.23529411764705882,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Philippines,Vietnam,2,4,2018-12-31 16:00:00,3,1,5,1,0.5555555555555556,0.5,1,0,0.3333333333333333,0.0,1,0,0.0,0.0,2,1,0.6666666666666666,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Kyrgyzstan,Palestine,2,1,2018-12-31 13:00:00,7,11,5,7,0.3333333333333333,0.35,3,2,0.42857142857142855,0.18181818181818182,3,2,0.42857142857142855,0.36363636363636365,1,5,0.14285714285714285,0.45454545454545453,0,0,0.0,0.0,0,0,0.0,0.0,1,1,1.0,1.0
Yemen,Syria,0,1,2018-12-30 17:00:00,2,8,0,9,0.0,0.47368421052631576,0,2,0.0,0.25,0,2,1.0,0.25,0,4,0.0,0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Oman,Australia,0,5,2018-12-30 13:00:00,10,10,8,17,0.6153846153846154,0.6071428571428571,3,4,0.3,0.4,3,4,0.0,0.3,7,3,0.7,0.3,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Bahrain,North Korea,4,0,2018-12-29 18:00:00,8,3,12,3,0.7058823529411765,0.375,3,0,0.375,0.0,3,0,0.25,0.3333333333333333,3,2,0.375,0.6666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
United Arab Emirates,Kuwait,0,2,2018-12-28 15:30:00,8,9,7,9,0.5,0.391304347826087,2,2,0.25,0.2222222222222222,2,2,0.375,0.4444444444444444,3,3,0.375,0.3333333333333333,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Iraq,Palestine,1,0,2018-12-28 15:00:00,10,10,15,7,0.5357142857142857,0.3684210526315789,3,2,0.3,0.2,3,2,0.2,0.3,5,5,0.5,0.5,1,0,0.5,0.0,0,1,0.0,0.5,1,1,0.5,0.5
Jordan,China,1,1,2018-12-28 13:00:00,14,11,15,10,0.5172413793103449,0.6666666666666666,5,5,0.35714285714285715,0.45454545454545453,5,5,0.35714285714285715,0.18181818181818182,4,4,0.2857142857142857,0.36363636363636365,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Bahrain,Lebanon,1,0,2018-12-27 18:00:00,7,5,11,1,0.6875,0.2,2,1,0.2857142857142857,0.2,2,1,0.2857142857142857,0.4,3,2,0.42857142857142855,0.4,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
India,Oman,0,0,2018-12-27 15:00:00,7,9,7,8,0.5,0.6153846153846154,2,3,0.2857142857142857,0.3333333333333333,2,3,0.5714285714285714,0.0,1,6,0.14285714285714285,0.6666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Qatar,Algeria,0,1,2018-12-27 12:00:00,10,6,19,7,0.6333333333333333,0.3684210526315789,7,1,0.7,0.16666666666666666,7,1,0.1,0.8333333333333334,2,0,0.2,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Qatar,Kyrgyzstan,1,0,2018-12-25 18:00:00,9,6,18,5,0.6206896551724138,0.35714285714285715,6,3,0.6666666666666666,0.5,6,3,0.1111111111111111,0.3333333333333333,2,1,0.2222222222222222,0.16666666666666666,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
Afghanistan,Turkmenistan,0,2,2018-12-25 14:00:00,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
